lsNr;Betreiber;Straße;Hausnummer;Adresszusatz;Postleitzahl;Ort;Bundesland;Kreis/kreisfreie Stadt;Breitengrad;Längengrad;Inbetriebnahmedatum;Anschlussleistung;Normalladeeinrichtung;Anzahl Ladepunkte;Steckertypen1;P1 [kW];Public Key1;Steckertypen2;P2 [kW];Public Key2;Steckertypen3;P3 [kW];Public Key3;Steckertypen4;P4 [kW];Public Key4
303;Stadt Flensburg, vertreten durch das Sondervermögen Infrastruktur c/o Technisches Betriebszentrum AöR;Heiligengeistgang;0;;24937;Flensburg;Schleswig-Holstein;Kreisfreie Stadt Flensburg;54.787346;9.431515;2017-07-01;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
304;Stadt Flensburg, vertreten durch das Sondervermögen Infrastruktur c/o Technisches Betriebszentrum AöR;Munketoft;23c;;24937;Flensburg;Schleswig-Holstein;Kreisfreie Stadt Flensburg;54.777945;9.441963;2019-10-01;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
305;Stadt Flensburg, vertreten durch das Sondervermögen Infrastruktur c/o Technisches Betriebszentrum AöR;Batteriestraße;48;;24939;Flensburg;Schleswig-Holstein;Kreisfreie Stadt Flensburg;54.80503393;9.430646321;2016-09-09;94;Schnellladeeinrichtung;3;DC Kupplung Combo, DC CHAdeMO;50;;DC Kupplung Combo;50;;AC Steckdose Typ 2;22;;;;
306;RBZ Eckener-Schule Flensburg AöR;Friesische Lücke;15;;24937;Flensburg;Schleswig-Holstein;Kreisfreie Stadt Flensburg;54.77686;9.41855;2020-05-07;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
307;PM 10. Projektgesellschaft mbH & Co.KG;Mühlendamm;21;;24937;Flensburg;Schleswig-Holstein;Kreisfreie Stadt Flensburg;54.77554;9.43844;2021-09-08;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;11;;AC Steckdose Typ 2;11;;;;;;;
308;Lidl Dienstleistung GmbH & Co. KG;Friesische Str.;171-191;;24937;Flensburg-Friesischer Berg;Schleswig-Holstein;Kreisfreie Stadt Flensburg;54.77826;9.41612;2020-09-16;50;Schnellladeeinrichtung;3;AC Kupplung Typ 2, AC Schuko;50;;AC Kupplung Typ 2;50;;AC Steckdose Typ 2, AC Kupplung Typ 2;22;;;;
309;Stadtwerke Kiel AG;Dorfstraße;14;;24220;Flintbek;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;54.238184;10.069554;2019-01-15;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
310;MARKANT;Eiderkamp;1;;24220;Flintbek;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;54.240756;10.055806;2020-06-22;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
311;Eider-Treene-Sorge GmbH;Rendsburger Str.;42;;24787;Fockbek;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;54.3072;9.60328;2016-05-02;22;Normalladeeinrichtung;1;AC Steckdose Typ 2;22;;;;;;;;;;
312;E.ON Drive GmbH;Rendsburger Straße;58;bei Nr. 58;24787;Fockbek;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;54.305112;9.600998;2017-12-06;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
313;Stadtwerke Husum GmbH;Holm;4;;24991;Freienwill;Schleswig-Holstein;Kreis Schleswig-Flensburg;54.728576;9.490334;2022-01-01;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
314;GP JOULE Connect GmbH;Koogstr.;142;;25718;Friedrichskoog;Schleswig-Holstein;Kreis Dithmarschen;54.02951243;8.839595318;2019-07-22;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
315;GP JOULE Connect GmbH;Am Hafen;4a;;25718;Friedrichskoog;Schleswig-Holstein;Kreis Dithmarschen;54.004181;8.883078;2021-09-14;150;Schnellladeeinrichtung;3;AC Steckdose Typ 2;22;3056301006072A8648CE3D020106052B8104000A03420004AAF1D5E7F7D83A7EBDEE0B2F77FDFF8210569D9F62F4243D9BC5E3D35215842CCB057DD9ACA2D724658AEB4A61B422BCCADB6797D028EF888267B9D761DF2D12;DC Kupplung Combo;150;3056301006072A8648CE3D020106052B8104000A03420004BF0C2E5478102EA073F9FE9E3B3EF49DB895D1C15A0275E26FA464FF556ED8EA23A112E4B3177FB0E1239D200FF7C90E901CF8F036C65109D34AB42B0CC76DCB;DC Kupplung Combo, DC CHAdeMO;150;3056301006072A8648CE3D020106052B8104000A03420004ABAC4D58D2865410A466913A481016EB720E4F0711677114ED2E745E44D966038F91B3045C4DD90457785B582B90187004ACFDA62CD0355BCFE8F8907202EDCC;;;
316;Wintershall Dea Deutschland AG;Schwienskoop;2;;25718;Friedrichskoog;Schleswig-Holstein;Kreis Dithmarschen;54.01902;8.869116;2019-07-26;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
317;HBW Verwaltungs GmbH;Am Hafen;6a;Parkplatz;25718;Friedrichskoog;Schleswig-Holstein;Kreis Dithmarschen;54.004524;8.883705;2021-09-15;62;Schnellladeeinrichtung;2;AC Steckdose Typ 2;22;;DC Kupplung Combo, DC CHAdeMO;62;;;;;;;
318;Eider-Treene-Sorge GmbH;Am Markt;0;;25840;Friedrichstadt;Schleswig-Holstein;Kreis Nordfriesland;54.37587;9.088455;2016-05-02;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
319;GP JOULE Connect GmbH;Wellumweg;32a;;25924;Friedrich-Wilhelm-Lübke-Koog;Schleswig-Holstein;Kreis Nordfriesland;54.8631;8.62696;2021-07-14;75;Schnellladeeinrichtung;2;DC Kupplung Combo;75;ANCX7WY2YOYBENLGQH5FRLOLCUXWFM2UYYLJR256;AC Steckdose Typ 2;22;AJ5JD5D6GVV36JBKHCNGVWW7M7R27E6NDLNJZCA4;;;;;;
320;GP JOULE Connect GmbH;Wellumweg;32a;;25924;Friedrich-Wilhelm-Luebke-Koog;Schleswig-Holstein;Kreis Nordfriesland;54.86313747;8.627025279;2021-06-29;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;ANCX7WY2YOYBENLGQH5FRLOLCUXWFM2UYYLJR256;AC Steckdose Typ 2;22;AJ5JD5D6GVV36JBKHCNGVWW7M7R27E6NDLNJZCA4;;;;;;
321;GP JOULE Connect GmbH;Suederstr.;53;;25836;Garding;Schleswig-Holstein;Kreis Nordfriesland;54.32777395;8.782975756;2021-08-20;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;AI4XL4FNZXA4AMZPQFDYCTU2EWN4THDNJ4P6POLN;AC Steckdose Typ 2;22;AKX2IFBUWWRSKDL3LMSDWWRJ4MSUPM3SKPSB5EC7;;;;;;
322;Stadt Garding;Welter Str.;1;;25836;Garding;Schleswig-Holstein;Kreis Nordfriesland;54.32544;8.77794;2021-09-24;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
323;Stadt Garding;Welter Str.;1;;25836;Garding;Schleswig-Holstein;Kreis Nordfriesland;54.32544;8.77794;2021-09-24;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
324;Stadtwerke Geesthacht GmbH;Norderstr.;0;;21502;Geesthacht;Schleswig-Holstein;Kreis Herzogtum Lauenburg;53.434083;10.372365;2016-11-04;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
325;Stadtwerke Geesthacht GmbH;Berliner Str.;0;Berliner Str. / Norderstr.;21502;Geesthacht;Schleswig-Holstein;Kreis Herzogtum Lauenburg;53.436204;10.374024;2016-11-04;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
326;Stadtwerke Geesthacht GmbH;Elbuferstr.;0;;21502;Geesthacht;Schleswig-Holstein;Kreis Herzogtum Lauenburg;53.402268;10.426554;2016-12-29;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
327;Stadtwerke Geesthacht GmbH;Brandrieter Weg;0;;21502;Geesthacht;Schleswig-Holstein;Kreis Herzogtum Lauenburg;53.430364;10.376584;2016-12-29;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
328;Stadtwerke Geesthacht GmbH;Querstr.;0;;21502;Geesthacht;Schleswig-Holstein;Kreis Herzogtum Lauenburg;53.437803;10.366397;2017-12-30;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
329;Kreis Herzogtum Lauenburg, Gebietskörperschaft;Otto-Brügmann-Str.;8;;21502;Geesthacht;Schleswig-Holstein;Kreis Herzogtum Lauenburg;53.431702;10.378398;2017-02-02;22;Normalladeeinrichtung;1;AC Steckdose Typ 2;22;;;;;;;;;;
330;Aral Pulse;Geesthachter Str.;24-28;;21502;Geesthacht;Schleswig-Holstein;Kreis Herzogtum Lauenburg;53.43988;10.36584;2021-12-10;300;Schnellladeeinrichtung;2;DC Kupplung Combo, DC CHAdeMO;300;;DC Kupplung Combo;300;;;;;;;
331;Aral Pulse;Geesthachter Str.;24-28;;21502;Geesthacht;Schleswig-Holstein;Kreis Herzogtum Lauenburg;53.43996;10.36578;2021-12-10;300;Schnellladeeinrichtung;2;DC Kupplung Combo, DC CHAdeMO;300;;DC Kupplung Combo;300;;;;;;;
332;MARKANT;Spandauer Straße;31;;21502;Geesthacht;Schleswig-Holstein;Kreis Herzogtum Lauenburg;53.432495;10.34185;2021-01-14;100;Schnellladeeinrichtung;3;AC Steckdose Typ 2, AC Kupplung Typ 2;11;;DC Kupplung Combo;50;;DC Kupplung Combo, DC CHAdeMO;50;;;;
333;Autohaus Siemers GmbH & Co.KG;Geesthachter Str.;72-74;;21502;Geesthacht;Schleswig-Holstein;Kreis Herzogtum Lauenburg;53.44359;10.362934;2021-01-19;39.6;Normalladeeinrichtung;2;DC Kupplung Combo;22;;AC Steckdose Typ 2;11;;;;;;;
334;Autohaus Siemers GmbH & Co.KG;Geesthachter Straße;72-74;;21502;Geesthacht;Schleswig-Holstein;Kreis Herzogtum Lauenburg;53.443408;10.361984;2021-03-04;13.2;Normalladeeinrichtung;1;AC Steckdose Typ 2;11;;;;;;;;;;
335;Janbeck*s FAIRhaus;Lehbek;10;;24395;Gelting;Schleswig-Holstein;Kreis Schleswig-Flensburg;54.74124;9.87884;2016-10-01;22;Normalladeeinrichtung;2;AC Kupplung Typ 2;22;;AC Kupplung Typ 2;22;;;;;;;
336;E.ON Drive GmbH;Süderstr.;33;;24214;Gettorf;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;54.402905;9.973889;2019-09-19;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
337;Premium Mobile Kuntz GmbH;Eichkoppel;1;;24214;Gettorf;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;54.412432;9.984711;2021-09-01;11;Normalladeeinrichtung;2;AC Steckdose Typ 2, AC Kupplung Typ 2;11;;AC Steckdose Typ 2, AC Kupplung Typ 2;11;;;;;;;
338;Premium Mobile Kuntz GmbH;Eichkoppel;1;;24214;Gettorf;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;54.412432;9.984711;2021-09-01;11;Normalladeeinrichtung;2;AC Steckdose Typ 2, AC Kupplung Typ 2;11;;AC Steckdose Typ 2, AC Kupplung Typ 2;11;;;;;;;
339;Premium Mobile Kuntz GmbH;Eichkoppel;1;;24214;Gettorf;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;54.41266;9.985157;2021-09-01;11;Normalladeeinrichtung;4;AC Steckdose Typ 2, AC Kupplung Typ 2;11;;AC Steckdose Typ 2, AC Kupplung Typ 2;11;;AC Steckdose Typ 2, AC Kupplung Typ 2;11;;AC Steckdose Typ 2, AC Kupplung Typ 2;11;
340;ewerk Sachsenwald GmbH;Markt;2;;21509;Glinde;Schleswig-Holstein;Kreis Stormarn;53.541506;10.211712;2017-03-24;44;Normalladeeinrichtung;2;AC Steckdose Typ 2, AC Schuko;22;;AC Steckdose Typ 2, AC Schuko;22;;;;;;;
341;ewerk Sachsenwald GmbH;Möllner Landstraße;30;;21509;Glinde;Schleswig-Holstein;Kreis Stormarn;53.54025;10.20284;2019-05-16;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
342;ewerk Sachsenwald GmbH;Buchenweg;5A;;21509;Glinde;Schleswig-Holstein;Kreis Stormarn;53.534967;10.21876;2019-12-13;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
343;ewerk Sachsenwald GmbH;Am Sportplatz;1;;21509;Glinde;Schleswig-Holstein;Kreis Stormarn;53.543253;10.216759;2019-12-13;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
344;ewerk Sachsenwald GmbH;Ahornweg;4;;21509;Glinde;Schleswig-Holstein;Kreis Stormarn;53.5356;10.23003;2020-08-12;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
345;ewerk Sachsenwald GmbH;Holstenkamp;1;;21509;Glinde;Schleswig-Holstein;Kreis Stormarn;53.54104;10.22742;2020-08-10;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
346;ewerk Sachsenwald GmbH;Ing. Honnef Straße;3;;21509;Glinde;Schleswig-Holstein;Kreis Stormarn;53.544968;10.232139;2021-06-15;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;3059301306072A8648CE3D020106082A8648CE3D0301070342000423876782d135617af356bf5320a6baa548a8604ffddabe151a4fec2d486b61107986991557785bf38314bc5b7fe605057a353660b015258dc57c4182a0a22e31;AC Steckdose Typ 2;22;3059301306072A8648CE3D020106082A8648CE3D030107034200040b0f4688c2116b78623d383744408201dfc94cb2504002d91eca145ce236902576c0c04b6a63fa86a7e3d095161d17704d58f123f8e8383cdbacbbb25c0bde0c;;;;;;
347;ewerk Sachsenwald GmbH;Avenue St. Sebastian;5A;;21509;Glinde;Schleswig-Holstein;Kreis Stormarn;53.538838;10.214533;2021-08-28;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;3059301306072A8648CE3D020106082A8648CE3D0301070342000413e607187e5c5094edccd853f513ad1dcc45d8697a9c5b2f145ab8c2636f0acd623dc83cc6a6b0b437a7eaedcfefde58f33dd42d6777f7a9d377c1bd767f6012;AC Steckdose Typ 2;22;3059301306072A8648CE3D020106082A8648CE3D03010703420004bb64aca5e531c1efaf5010984819472abccca1aaf81b1b9815ccaebe928fe04b9e587bee7bad97a40fef3761e74800d87435dc174728051d463b1fc1a604f689;;;;;;
348;Stadtwerke Glückstadt GmbH;Bahnhofstraße;1;;25348;Glückstadt;Schleswig-Holstein;Kreis Steinburg;53.78842225;9.430016171;2018-10-04;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
349;Stadtwerke Glückstadt GmbH;Am Rethövel;0;;25348;Glückstadt;Schleswig-Holstein;Kreis Steinburg;53.7855394;9.425442798;2018-10-04;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
350;Stadtwerke Glückstadt GmbH;Am Markt;0;;25348;Glückstadt;Schleswig-Holstein;Kreis Steinburg;53.78814207;9.423346186;2018-11-09;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
351;Stadtwerke Glückstadt GmbH;Am Markt;0;;25348;Glückstadt;Schleswig-Holstein;Kreis Steinburg;53.78814712;9.423349299;2018-12-03;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
352;GP JOULE Connect GmbH;Kirstenstr.;6;;24960;Gluecksburg;Schleswig-Holstein;Kreis Schleswig-Flensburg;54.84195561;9.532858814;2021-08-19;22;Normalladeeinrichtung;3;AC Steckdose Typ 2;22;3059 3013 0607 2A86 48CE 3D02 0106 082A 8648 CE3D 0301 0703 4200 04A7 BD2D BDB1 8B9A 644D 2030 7BE2 B532 3ABD F8D0 5032 4868 E80A 87DA CF85 7976 E195 1E54 F4CB 915F 4CCC 3F71 EE5D DF30 E50E 3120 39A0 1159 E614 E178 B06E E710 23;AC Steckdose Typ 2;22;3059 3013 0607 2A86 48CE 3D02 0106 082A 8648 CE3D 0301 0703 4200 0446 410A FF0C 3042 BDF4 2BE5 CB8B 321F 2781 69F2 14F6 93EA 993C AACA E2E1 7378 27C9 6F5E 9FD1 08D7 F569 17CC 47F6 FEBE E48F C620 8D4C 90A6 9BBC 9DBE 1EE5 AF1B 08;AC Steckdose Typ 2;22;3059 3013 0607 2A86 48CE 3D02 0106 082A 8648 CE3D 0301 0703 4200 04FA 1198 16DE CECC 0D90 D52F 2A91 7A34 E563 8359 836E 3729 E630 68D8 2FFD D0EF F4FA A98D 0047 B93E 3547 ED7E 0E2D B706 3D54 2B7D 6487 DB71 2061 05B7 BBF4 79C3 19;;;
353;Rainer Gloe GmbH;Itzehoer Str.;15;;24622;Gnutz;Schleswig-Holstein;Kreis Rendsburg-Eckernförde;54.1353;9.82983;2022-07-01;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
354;GP JOULE Connect GmbH;Bankendorfer Weg;1;;23758;Gremersdorf;Schleswig-Holstein;Kreis Ostholstein;54.331975;10.933026;2021-08-18;150;Schnellladeeinrichtung;2;DC Kupplung Combo;150;;DC Kupplung Combo, DC CHAdeMO;150;;;;;;;
355;GP JOULE Connect GmbH;Bankendorfer Weg;1;;23758;Gremersdorf;Schleswig-Holstein;Kreis Ostholstein;54.331975;10.933026;2021-08-18;150;Schnellladeeinrichtung;2;DC Kupplung Combo;150;;DC Kupplung Combo, DC CHAdeMO;150;;;;;;;
356;GP JOULE Connect GmbH;Cismarfelde;16;;23743;Grömitz;Schleswig-Holstein;Kreis Ostholstein;54.202575;10.965724;2017-05-09;22;Normalladeeinrichtung;1;AC Steckdose Typ 2;22;;;;;;;;;;
357;E.ON Drive GmbH;Brokenlande Ost;0;BAB7;24623;Großenaspe;Schleswig-Holstein;Kreis Segeberg;54.012357;9.932732;2017-07-31;93;Schnellladeeinrichtung;2;AC Kupplung Typ 2;43;;DC Kupplung Combo, DC CHAdeMO;50;;;;;;;
358;IONITY GmbH;Brokenlande Ost;0;;24623;Großenaspe;Schleswig-Holstein;Kreis Segeberg;54.014218;9.933268;2019-01-12;350;Schnellladeeinrichtung;1;DC Kupplung Combo;350;;;;;;;;;;
359;IONITY GmbH;Brokenlande Ost;0;;24623;Großenaspe;Schleswig-Holstein;Kreis Segeberg;54.014218;9.933268;2019-01-12;350;Schnellladeeinrichtung;1;DC Kupplung Combo;350;;;;;;;;;;
360;IONITY GmbH;Brokenlande Ost;0;;24623;Großenaspe;Schleswig-Holstein;Kreis Segeberg;54.014218;9.933268;2019-01-12;350;Schnellladeeinrichtung;1;DC Kupplung Combo;350;;;;;;;;;;
361;IONITY GmbH;Brokenlande Ost;0;;24623;Großenaspe;Schleswig-Holstein;Kreis Segeberg;54.014218;9.933268;2019-01-12;350;Schnellladeeinrichtung;1;DC Kupplung Combo;350;;;;;;;;;;
362;Großenbrode Tourismus Service und Grundstücks GmbH;Teichstr.;12;;23775;Großenbrode;Schleswig-Holstein;Kreis Ostholstein;54.372918;11.085465;2019-06-01;22;Normalladeeinrichtung;1;AC Steckdose Typ 2;22;;;;;;;;;;
363;Großenbrode Tourismus Service und Grundstücks GmbH;Südstrand;0;;23775;Großenbrode;Schleswig-Holstein;Kreis Ostholstein;54.35794;11.086654;2019-06-01;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
364;Holiday Vital Resort;Strandstraße;32;;23775;Großenbrode;Schleswig-Holstein;Kreis Ostholstein;54.363027;11.085022;2021-12-16;160;Schnellladeeinrichtung;3;DC Kupplung Combo;160;;DC Kupplung Combo;160;;AC Steckdose Typ 2;22;;;;
365;Holiday Vital Resort;Strandstraße;32;;23775;Großenbrode;Schleswig-Holstein;Kreis Ostholstein;54.362797;11.085154;2021-12-16;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
366;Gemeinde Großenwiehe über Amt Schafflund, Gebietskörperschaft;Hauptsraße;7;;24969;Großenwiehe;Schleswig-Holstein;Kreis Schleswig-Flensburg;54.70459627;9.248185627;2020-12-15;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
367;Gemeinde Großenwiehe über Amt Schafflund, Gebietskörperschaft;Alter Bahndamm;1;;24969;Großenwiehe;Schleswig-Holstein;Kreis Schleswig-Flensburg;54.69555995;9.246618528;2020-12-15;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;3059301306072a8648ce3d020106082a8648ce3d030107034200044796adafcc12b2740f0f2a7de0850c83d15077e76d40a436193d0522a54578deaa492ed665c84cbd2706148513408d1303c2ddab6b6693ebf0915e0286972342;;;;;;
368;Stadtwerke Geesthacht GmbH;Neuer Postweg;0;;22927;Großhansdorf;Schleswig-Holstein;Kreis Stormarn;53.660919;10.285529;2017-06-30;39;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
369;E.ON Drive GmbH;Wöhrendamm;151;;22927;Großhansdorf;Schleswig-Holstein;Kreis Stormarn;53.65276;10.28234;2017-10-05;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
370;Klinik Manhagen;Sieker Landstr.;19;;22927;Großhansdorf;Schleswig-Holstein;Kreis Stormarn;53.66326;10.25542;2021-07-12;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;11;;;;;;;
371;Klinik Manhagen;Sieker Landstr.;19;;22927;Großhansdorf;Schleswig-Holstein;Kreis Stormarn;53.66326;10.25542;2021-07-12;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;11;;;;;;;
372;Klinik Manhagen;Sieker Landstr.;19;;22927;Großhansdorf;Schleswig-Holstein;Kreis Stormarn;53.66326;10.25542;2021-07-12;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;11;;;;;;;
373;Klinik Manhagen;Sieker Landstr.;19;;22927;Großhansdorf;Schleswig-Holstein;Kreis Stormarn;53.66326;10.25542;2021-07-12;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;11;;;;;;;
374;Klinik Manhagen;Sieker Landstr.;19;;22927;Großhansdorf;Schleswig-Holstein;Kreis Stormarn;53.66326;10.25542;2021-07-12;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;11;;;;;;;
375;Stadtwerke Husum GmbH;Holm;1;;24991;Großsolt;Schleswig-Holstein;Kreis Schleswig-Flensburg;54.728545;9.490161;2019-01-29;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
376;Stadtwerke Husum GmbH;Koopmannsweg;1;;24991;Großsolt;Schleswig-Holstein;Kreis Schleswig-Flensburg;54.707289;9.529503;2019-01-31;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
377;E.ON Drive GmbH;Gudow Nord;0;BAB24;23899;Gudow;Schleswig-Holstein;Kreis Herzogtum Lauenburg;53.520922;10.806497;2017-07-31;93;Schnellladeeinrichtung;2;AC Kupplung Typ 2;43;;DC Kupplung Combo, DC CHAdeMO;50;;;;;;;
378;E.ON Drive GmbH;Gudow Süd;0;BAB24;23899;Gudow;Schleswig-Holstein;Kreis Herzogtum Lauenburg;53.520471;10.804038;2017-10-17;93;Schnellladeeinrichtung;2;AC Kupplung Typ 2;43;;DC Kupplung Combo, DC CHAdeMO;50;;;;;;;
379;Allego GmbH;Gärtnerstraße;169;;25469;Halstenbek;Schleswig-Holstein;Kreis Pinneberg;53.629558;9.867123;2016-12-28;93;Schnellladeeinrichtung;2;DC Kupplung Combo, DC CHAdeMO;50;;AC Kupplung Typ 2;43;;;;;;;
380;GP JOULE Connect GmbH;Schulstraße;11;;25469;Halstenbek;Schleswig-Holstein;Kreis Pinneberg;53.636208;9.841668;2021-08-18;22;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
381;GP JOULE Connect GmbH;Ostereschweg;9;;25469;Halstenbek;Schleswig-Holstein;Kreis Pinneberg;53.631326;9.84626;2021-08-18;22;Normalladeeinrichtung;4;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;
382;GP JOULE Connect GmbH;Gärtnerstraße;151;;25469;Halstenbek;Schleswig-Holstein;Kreis Pinneberg;53.63043816;9.863157378;2022-03-23;150;Schnellladeeinrichtung;2;DC Kupplung Combo;150;;DC Kupplung Combo;150;;;;;;;
383;May & Olde GmbH;Stawedder;14 - 20;;25469;Halstenbek;Schleswig-Holstein;Kreis Pinneberg;53.643682;9.83426;2019-12-10;44;Normalladeeinrichtung;2;AC Steckdose Typ 2;22;;AC Steckdose Typ 2;22;;;;;;;
384;Gemeindewerke Halstenbek;Gärtnerstraße;151;;25469;Halstenbek;Schleswig-Holstein;Kreis Pinneberg;53.630052;9.862993;2017-03-02;45;Schnellladeeinrichtung;1;AC Steckdose Typ 2, DC Kupplung Combo, DC CHAdeMO;45;;;;;;;;;;
385;KFZ-Reparaturen Oliver Klinck - öffentliche Ladesäule;Poststraße;25;;25469;Halstenbek;Schleswig-Holstein;Kreis Pinneberg;53.636961;9.845017;2022-05-18;11;Normalladeeinrichtung;1;AC Steckdose Typ 2;11;;;;;;;;;;
386;NWG Charging;Mittelstraße;70;Parkplatz am Glashütter Markt;22851;Hamburg;Schleswig-Holstein;Kreis Segeberg;53.687757;10.038292;2022-02-02;44;Normalladeeinrichtung;4;AC Steckdose Typ 2;11;;AC Steckdose Typ 2;11;;AC Steckdose Typ 2;11;;AC Steckdose Typ 2;11;
387;Allego GmbH;Scandinavian-Park;1;;24983;Handewitt;Schleswig-Holstein;Kreis Schleswig-Flensburg;52.382725;9.333851;2021-10-04;150;Schnellladeeinrichtung;2;DC Kupplung Combo;150;3056301006072A8648CE3D020106052B8104000A03420004FE2809481A8523C5B67D26F64CA9527ED3EE3B16D2DA5833F27E20A68C2F70A8E8A56496BF3C7B035B057D771C0D2E4666C8A36CB4D155DAE05C7BA9FF37D1DF;DC Kupplung Combo;150;3056301006072A8648CE3D020106052B8104000A03420004B25838D66C60A9DCF877D50ABBFDDA82C68C372724F58254C7B6B03CCC4EED1CB9A79977B517B369F7F6D8B9556C21268A97F6A944448903F4DB01FF2E73ABE2;;;;;;
